0.000025, 0.000025 
0.000049, 0.000049 
0.000074, 0.000074 
0.000099, 0.000099 
0.000123, 0.000123 
0.000148, 0.000148 
0.000173, 0.000173 
0.000197, 0.000197 
0.000222, 0.000222 
0.000247, 0.000247 
0.000271, 0.000271 
0.000296, 0.000296 
0.000321, 0.000321 
0.000345, 0.000345 
0.000370, 0.000370 
0.000395, 0.000395 
0.000419, 0.000419 
0.000444, 0.000444 
0.000469, 0.000469 
0.000493, 0.000493 
0.000518, 0.000518 
0.000543, 0.000543 
0.000567, 0.000567 
0.000592, 0.000592 
0.000617, 0.000617 
0.000642, 0.000642 
0.000666, 0.000666 
0.000691, 0.000691 
0.000716, 0.000716 
0.000740, 0.000740 
0.000765, 0.000765 
0.000790, 0.000790 
0.000814, 0.000814 
0.000839, 0.000839 
0.000864, 0.000864 
0.000888, 0.000888 
0.000913, 0.000913 
0.000938, 0.000938 
0.000962, 0.000962 
0.000987, 0.000987 
0.001012, 0.001012 
0.001036, 0.001036 
0.001061, 0.001061 
0.001086, 0.001086 
0.001110, 0.001110 
0.001135, 0.001135 
0.001160, 0.001160 
0.001184, 0.001184 
0.001209, 0.001209 
0.001234, 0.001234 
0.001258, 0.001258 
0.001283, 0.001283 
0.001308, 0.001308 
0.001332, 0.001332 
0.001357, 0.001357 
0.001382, 0.001382 
0.001406, 0.001406 
0.001431, 0.001431 
0.001456, 0.001456 
0.001480, 0.001480 
0.001505, 0.001505 
0.001530, 0.001530 
0.001554, 0.001554 
0.001579, 0.001579 
0.001604, 0.001604 
0.001628, 0.001628 
0.001653, 0.001653 
0.001678, 0.001678 
0.001702, 0.001702 
0.001727, 0.001727 
0.001752, 0.001752 
0.001777, 0.001777 
0.001801, 0.001801 
0.001826, 0.001826 
0.001851, 0.001851 
0.001875, 0.001875 
0.001900, 0.001900 
0.001925, 0.001925 
0.001949, 0.001949 
0.001974, 0.001974 
0.001999, 0.001999 
0.002023, 0.002023 
0.002048, 0.002048 
0.002073, 0.002073 
0.002097, 0.002097 
